Site,Year,CalendarDate,A.Temp,W.Temp,Time,Mass,PL,Sex,Recapture,Aggression,Shell,Bin.Shell,Start,Move,Code,for.veg.100,for.veg.200,for.veg.300,for.veg.400,for.veg.500,for.veg.600,for.veg.700,for.veg.800,for.veg.900,for.veg.1000,wet.100,wet.200,wet.300,wet.400,wet.500,wet.600,wet.700,wet.800,wet.900,wet.1000,agri.100,agri.200,agri.300,agri.400,agri.500,agri.600,agri.700,agri.800,agri.900,agri.1000,urban.100,urban.200,urban.300,urban.400,urban.500,urban.600,urban.700,urban.800,urban.900,urban.1000,water.100,water.200,water.300,water.400,water.500,water.600,water.700,water.800,water.900,water.1000,Dummy
B,2021,159,28,28,12,240,111,M,N,1,0,0,0,158,ABW,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368,1
B,2021,159,28,28,12.08333333,375,138,M,N,2,0,0,29,99,ABX,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368,1
B,2021,159,28,28,14.66666667,710,160,F,N,2,213,1,215,116,ABY,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368,1
B,2021,159,28,28,14.76666667,700,160,F,N,1,0,0,130,65,ACA,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368,1
B,2021,159,28,28,14.86666667,350,134,M,N,1,0,0,57,89,ACC,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368,1
B,2021,159,28,28,15,300,113,M,N,0,0,0,120,164,AUV,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368,1
B,2021,159,28,28,15.1,650,153,F,N,2,0,0,51,156,ACD,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368,1
B,2021,159,28,28,15.5,400,129,M,N,1,0,0,9,82,ACE,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368,1
B,2021,160,23,27.2,10.35,375,127,F,N,1,0,0,93,161,ACF,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368,1
B,2021,160,23,27.2,10.5,640,151,F,N,1,0,0,0,69,ACG,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368,1
B,2021,160,23,27.2,10.6,415,134,M,N,2,0,0,0,167,ACH,0,0.172413793,0.274691358,0.275563258,0.247502775,0.197996918,0.163080408,0.154079861,0.146140652,0.142144638,0.054054054,0.055172414,0.024691358,0.013864818,0.016648169,0.01540832,0.013590034,0.016493056,0.015437393,0.016070934,0,0,0,0.006932409,0.014428413,0.012326656,0.013590034,0.013888889,0.023327616,0.030756442,0.324324324,0.282758621,0.354938272,0.435008666,0.504994451,0.596302003,0.662514156,0.685329861,0.70051458,0.712108617,0.621621622,0.489655172,0.345679012,0.268630849,0.216426193,0.177966102,0.147225368,0.130208333,0.11457976,0.098919368,1
