Year,Day,Site,Code,Sex,Shell,Start,Move,Aggression,BIN.Shell,Dummy
2022,3,U,DIV,M,281,388,93,2,1,1
2022,1,V,DJX,M,0,103,103,3,0,1
2022,1,V,DJY,M,0,NA,NA,2,0,1
2022,1,V,DKL,F,0,85,142,2,0,1
2022,1,V,DKV,M,0,180,80,3,0,1
2022,1,V,DJV,F,0,71,91,2,0,1
2022,2,V,DJX,M,0,0,90,3,0,1
2022,2,V,DJY,M,0,35,58,3,0,1
2022,2,V,DKL,F,0,12,142,2,0,1
2022,2,V,DKV,M,0,87,127,3,0,1
2022,2,V,DJV,F,0,86,126,2,0,1
2022,3,V,DJX,M,0,0,131,3,0,1
2022,3,V,DJY,M,600,NA,NA,3,1,1
2022,3,V,DKL,F,0,12,82,2,0,1
2022,3,V,DKV,M,0,5,87,3,0,1
2022,3,V,DJV,F,0,0,110,2,0,1
2022,4,V,DJX,M,0,118,134,3,0,1
2022,4,V,DJY,M,0,116,87,2,0,1
2022,4,V,DKL,F,0,52,157,2,0,1
2022,4,V,DKV,M,0,21,142,3,0,1
2022,4,V,DJV,F,0,5,151,2,0,1
2022,1,W,DNW,F,0,NA,NA,0,0,1
2022,1,W,DNP,F,600,NA,NA,0,1,1
2022,1,W,DNV,F,0,84,40,0,0,1
2022,1,W,DNQ,M,0,NA,NA,3,0,1
2022,1,W,DNY,M,0,NA,NA,0,0,1
2022,2,W,DNW,F,0,NA,NA,0,0,1
2022,2,W,DNP,F,102,NA,NA,0,1,1
2022,2,W,DNV,F,0,347,135,0,0,1
2022,2,W,DNQ,M,0,NA,NA,3,0,1
2022,2,W,DNY,M,NA,NA,NA,1,NA,1
2022,3,W,DNW,F,58,224,52,0,1,1
2022,3,W,DNP,F,600,NA,NA,0,1,1
2022,3,W,DNV,F,0,546,109,0,0,1
2022,3,W,DNQ,M,0,NA,NA,3,0,1
2022,3,W,DNY,M,0,270,23,1,0,1
2022,1,X,R1R3L2,F,0,260,23,3,0,1
2022,1,X,R2L4,M,0,43,146,2,0,1
2022,1,X,R3R5,M,0,214,31,3,0,1
2022,1,X,R1L3L4,M,510,NA,NA,0,1,1
2022,2,X,R1R3L2,F,0,85,80,3,0,1
2022,2,X,R2L4,M,8,108,135,2,1,1
2022,2,X,R3R5,M,0,223,105,2,0,1
2022,2,X,R1L3L4,M,510,NA,NA,0,1,1
2022,3,X,R1R3L2,F,0,25,86,3,0,1
2022,3,X,R2L4,M,0,75,148,2,0,1
2022,3,X,R3R5,M,0,105,107,2,0,1
2022,3,X,R1L3L4,M,0,NA,NA,0,0,1
